Vertex 497.889 354.371
684.218 -304.317 695.347 -355.676
695.347 -355.676 707.247 -410.583
707.247 -410.583 719.931 -469.099
719.931 -469.099 733.409 -531.275
733.409 -531.275 747.69 -597.152
747.69 -597.152 762.782 -666.762
762.782 -666.762 778.689 -740.133
778.689 -740.133 795.418 -817.287
795.418 -817.287 812.971 -898.243
812.971 -898.243 831.352 -983.016
831.352 -983.016 850.564 -1071.62
850.564 -1071.62 870.609 -1164.06
870.609 -1164.06 891.49 -1260.36
891.49 -1260.36 913.206 -1360.51
913.206 -1360.51 935.761 -1464.52
935.761 -1464.52 959.156 -1572.4
959.156 -1572.4 983.39 -1684.16
983.39 -1684.16 1008.47 -1799.8
1008.47 -1799.8 1034.38 -1919.31
1034.38 -1919.31 1051.88 -2000
443.927 190.201 449.081 186.525
449.081 186.525 467.813 173.17
467.813 173.17 485.151 160.818
485.151 160.818 501.524 149.164
501.524 149.164 517.405 137.872
517.405 137.872 501.524 149.164
501.524 149.164 517.405 137.872
517.405 137.872 533.292 126.588
533.292 126.588 549.682 114.959
549.682 114.959 567.05 102.647
567.05 102.647 585.822 89.3497
585.822 89.3497 601.607 78.1737
-775.224 -2000 -769.001 -1988.82
-769.001 -1988.82 -703.81 -1871.65
-703.81 -1871.65 -640.56 -1757.98
-640.56 -1757.98 -579.251 -1647.79
-579.251 -1647.79 -519.882 -1541.1
-519.882 -1541.1 -462.453 -1437.88
-462.453 -1437.88 -406.963 -1338.16
-406.963 -1338.16 -353.412 -1241.91
-353.412 -1241.91 -301.798 -1149.15
-301.798 -1149.15 -252.121 -1059.87
-252.121 -1059.87 -204.379 -974.069
-204.379 -974.069 -158.57 -891.742
-158.57 -891.742 -114.693 -812.886
-114.693 -812.886 -72.7454 -737.498
-72.7454 -737.498 -32.7245 -665.573
-32.7245 -665.573 5.37304 -597.104
5.37304 -597.104 41.5514 -532.085
41.5514 -532.085 75.8156 -470.507
75.8156 -470.507 108.172 -412.357
108.172 -412.357 138.629 -357.621
138.629 -357.621 167.197 -306.282
167.197 -306.282 193.888 -258.315
193.888 -258.315 218.72 -213.691
218.72 -213.691 241.714 -172.369
241.714 -172.369 262.9 -134.3
262.9 -134.3 282.315 -99.414
282.315 -99.414 300.009 -67.6231
300.009 -67.6231 316.048 -38.8089
316.048 -38.8089 330.519 -12.8155
330.519 -12.8155 343.536 10.5609
343.536 10.5609 355.247 31.5844
355.247 31.5844 365.837 50.5887
365.837 50.5887 375.537 67.9842
375.537 67.9842 384.617 84.2547
384.617 84.2547 393.381 99.944
393.381 99.944 384.617 84.2547
384.617 84.2547 393.381 99.944
393.381 99.944 402.151 115.63
402.151 115.63 411.25 131.889
411.25 131.889 420.982 149.267
420.982 149.267 431.618 168.246
431.618 168.246 443.386 189.237
443.386 189.237 443.927 190.201
Vertex 922.518 140.317
2000 636.007 1987.83 631.787
1987.83 631.787 1902.34 602.152
1902.34 602.152 1820.58 573.807
1820.58 573.807 1742.53 546.75
1742.53 546.75 1668.19 520.975
1668.19 520.975 1597.53 496.479
1597.53 496.479 1530.54 473.256
1530.54 473.256 1467.21 451.297
1467.21 451.297 1407.5 430.595
1407.5 430.595 1351.38 411.138
1351.38 411.138 1298.81 392.912
1298.81 392.912 1249.75 375.9
1249.75 375.9 1204.13 360.08
1204.13 360.08 1161.87 345.425
1161.87 345.425 1122.88 331.9
1122.88 331.9 1087.02 319.461
1087.02 319.461 1054.14 308.053
1054.14 308.053 1024.05 297.609
1024.05 297.609 996.494 288.043
996.494 288.043 971.188 279.252
971.188 279.252 947.776 271.114
947.776 271.114 925.849 263.485
925.849 263.485 904.947 256.206
904.947 256.206 884.568 249.101
884.568 249.101 904.947 256.206
904.947 256.206 884.568 249.101
884.568 249.101 864.193 241.989
864.193 241.989 843.298 234.687
843.298 234.687 821.384 227.022
821.384 227.022 817.407 225.63
1065.26 -2000 1065.01 -1997.76
1065.01 -1997.76 1051.07 -1872.41
1051.07 -1872.41 1037.57 -1751.01
1037.57 -1751.01 1024.51 -1633.58
1024.51 -1633.58 1011.89 -1520.1
1011.89 -1520.1 999.716 -1410.59
999.716 -1410.59 987.977 -1305.03
987.977 -1305.03 976.677 -1203.42
976.677 -1203.42 965.817 -1105.75
965.817 -1105.75 955.395 -1012.04
955.395 -1012.04 945.411 -922.26
945.411 -922.26 935.864 -836.416
935.864 -836.416 926.754 -754.497
926.754 -754.497 918.08 -676.495
918.08 -676.495 909.839 -602.399
909.839 -602.399 902.032 -532.195
902.032 -532.195 894.655 -465.867
894.655 -465.867 887.706 -403.394
887.706 -403.394 881.183 -344.749
881.183 -344.749 875.082 -289.9
875.082 -289.9 869.398 -238.804
869.398 -238.804 864.125 -191.407
864.125 -191.407 859.255 -147.64
859.255 -147.64 854.777 -107.412
854.777 -107.412 850.68 -70.6094
850.68 -70.6094 846.946 -37.0809
846.946 -37.0809 843.553 -6.63485
843.553 -6.63485 840.474 20.9738
840.474 20.9738 837.674 46.0523
837.674 46.0523 835.11 68.9787
835.11 68.9787 832.732 90.2044
832.732 90.2044 830.481 110.25
830.481 110.25 828.291 129.69
828.291 129.69 830.481 110.25
830.481 110.25 828.291 129.69
828.291 129.69 826.096 149.129
826.096 149.129 823.826 169.172
823.826 169.172 821.417 190.394
821.417 190.394 818.81 213.316
818.81 213.316 817.407 225.63
Vertex 846.471 358.31
711.699 280.902 -nan -nan
711.699 280.902 715.725 273.223
817.407 225.63 811.146 228.569
811.146 228.569 790.256 238.365
790.256 238.365 811.146 228.569
